product_id,category,brand,base_price,launch_date,is_premium
1,Grocery,Brand_58,14.19,8/2/2021,0
2,Fashion,Brand_1,25.8,9/14/2021,0
3,Electronics,Brand_70,165.46,1/18/2021,1
4,Fashion,Brand_56,75.45,3/3/2023,1
5,Sports,Brand_1,72.5,4/19/2022,1
6,Fashion,Brand_39,57.08,9/16/2023,0
7,Beauty,Brand_42,27.23,5/17/2023,0
8,Home,Brand_41,121.82,2/16/2021,1
9,Home,Brand_73,25.37,3/11/2023,0
10,Home,Brand_61,84.11,8/21/2022,1
11,Sports,Brand_8,77.71,4/20/2022,1
12,Fashion,Brand_20,14.74,7/27/2021,0
13,Home,Brand_39,61.81,6/15/2022,1
14,Home,Brand_57,73.61,5/2/2023,1
15,Sports,Brand_88,100.75,11/13/2022,1
16,Grocery,Brand_28,15.92,12/18/2021,0
17,Electronics,Brand_75,146.18,8/27/2022,1
18,Sports,Brand_49,72.39,5/8/2022,1
19,Sports,Brand_81,128.05,3/23/2022,1
20,Home,Brand_16,123.17,12/11/2022,1
21,Fashion,Brand_49,56.9,10/11/2021,0
22,Electronics,Brand_67,119.11,1/18/2021,1
23,Electronics,Brand_62,59.39,1/18/2023,0
24,Home,Brand_61,67.65,7/6/2023,1
25,Home,Brand_9,74.82,6/10/2023,1
26,Fashion,Brand_2,57.72,10/4/2021,0
27,Home,Brand_49,52.75,8/9/2022,0
28,Beauty,Brand_4,30.7,1/20/2022,0
29,Beauty,Brand_25,43.46,1/29/2022,0
30,Grocery,Brand_47,15.22,2/27/2021,0
31,Fashion,Brand_28,45.83,3/4/2023,0
32,Home,Brand_78,62.62,11/13/2022,1
33,Beauty,Brand_35,38.6,9/17/2022,0
34,Fashion,Brand_95,58.08,12/22/2023,0
35,Electronics,Brand_37,113.67,8/3/2023,1
36,Grocery,Brand_19,9.68,12/11/2023,0
37,Fashion,Brand_27,60.77,1/21/2023,0
38,Home,Brand_28,133.41,6/5/2021,1
39,Fashion,Brand_62,37.9,1/3/2021,0
40,Home,Brand_12,104.36,11/9/2022,1
41,Beauty,Brand_23,11.2,10/17/2023,0
42,Electronics,Brand_5,77.43,3/19/2021,1
43,Grocery,Brand_72,14.63,5/25/2021,0
44,Electronics,Brand_16,123.03,3/6/2021,1
45,Grocery,Brand_18,30.56,7/24/2021,0
46,Home,Brand_14,174.24,8/6/2021,1
47,Fashion,Brand_34,42.69,8/15/2022,0
48,Fashion,Brand_60,25.13,10/20/2021,0
49,Beauty,Brand_26,41.44,6/22/2021,0
50,Grocery,Brand_76,18.63,2/1/2021,0
51,Fashion,Brand_2,59.09,12/22/2021,0
52,Grocery,Brand_98,16.33,5/3/2022,0
53,Home,Brand_72,117.76,10/8/2023,1
54,Grocery,Brand_90,11.32,2/4/2021,0
55,Grocery,Brand_91,19.82,7/7/2021,0
56,Grocery,Brand_83,9.6,1/31/2021,0
57,Electronics,Brand_25,181.95,5/24/2022,1
58,Home,Brand_86,154.54,10/15/2023,1
59,Sports,Brand_94,113.38,7/29/2022,1
60,Electronics,Brand_84,297.63,6/26/2021,1
61,Home,Brand_36,85.58,5/29/2021,1
62,Sports,Brand_59,70.45,4/24/2023,1
63,Beauty,Brand_87,11.75,11/7/2023,0
64,Electronics,Brand_98,73.84,6/13/2022,1
65,Sports,Brand_79,87.61,5/23/2023,1
66,Fashion,Brand_83,54.05,7/22/2023,0
67,Beauty,Brand_93,37.7,7/11/2021,0
68,Home,Brand_44,49.36,7/5/2022,0
69,Home,Brand_52,97.71,9/2/2023,1
70,Home,Brand_51,127.77,7/3/2021,1
71,Beauty,Brand_91,35.93,8/27/2022,0
72,Fashion,Brand_25,41.24,4/3/2023,0
73,Fashion,Brand_84,55.22,9/4/2022,0
74,Fashion,Brand_36,19.19,6/5/2023,0
75,Home,Brand_24,28.14,5/11/2021,0
76,Fashion,Brand_52,77.61,10/10/2022,1
77,Sports,Brand_25,92.24,9/18/2023,1
78,Home,Brand_6,148.88,1/2/2023,1
79,Beauty,Brand_95,46.28,6/15/2021,0
80,Electronics,Brand_7,160.82,6/18/2022,1
81,Fashion,Brand_68,37.83,10/23/2022,0
82,Fashion,Brand_69,62.58,5/16/2021,1
83,Home,Brand_37,43.62,10/17/2023,0
84,Home,Brand_74,83.57,6/25/2023,1
85,Fashion,Brand_14,72.41,12/22/2022,1
86,Electronics,Brand_20,86.69,12/21/2023,1
87,Electronics,Brand_24,270.57,8/5/2021,1
88,Home,Brand_51,99.8,7/31/2021,1
89,Fashion,Brand_84,45.07,2/14/2023,0
90,Grocery,Brand_98,17.32,10/18/2023,0
91,Home,Brand_97,64.05,1/30/2023,1
92,Sports,Brand_8,55.34,12/6/2021,0
93,Electronics,Brand_27,81.17,5/24/2023,1
94,Fashion,Brand_99,68.63,9/4/2021,1
95,Fashion,Brand_10,87.96,7/16/2021,1
96,Home,Brand_57,174.04,12/12/2022,1
97,Sports,Brand_38,64.51,12/15/2022,1
98,Electronics,Brand_6,79.4,3/3/2022,1
99,Grocery,Brand_47,17.83,8/7/2022,0
100,Fashion,Brand_56,23.85,2/6/2023,0
101,Beauty,Brand_79,36.56,11/24/2023,0
102,Grocery,Brand_18,8.33,10/4/2023,0
103,Fashion,Brand_52,67.44,10/22/2023,1
104,Grocery,Brand_58,7.98,9/14/2022,0
105,Home,Brand_43,85.77,6/19/2023,1
106,Home,Brand_27,101.38,4/30/2023,1
107,Beauty,Brand_59,29.8,9/8/2023,0
108,Grocery,Brand_48,19.69,9/7/2023,0
109,Beauty,Brand_72,24.48,5/1/2022,0
110,Home,Brand_22,117.45,11/29/2023,1
111,Home,Brand_13,114.33,2/7/2021,1
112,Fashion,Brand_59,88.5,8/16/2021,1
113,Grocery,Brand_24,13.51,9/29/2023,0
114,Home,Brand_16,63.29,11/26/2022,1
115,Grocery,Brand_10,9.01,9/2/2023,0
116,Grocery,Brand_16,8.43,3/4/2022,0
117,Grocery,Brand_69,26.36,4/19/2023,0
118,Grocery,Brand_51,16.44,3/1/2022,0
119,Fashion,Brand_7,45.54,5/26/2022,0
120,Fashion,Brand_34,130.64,12/17/2023,1
121,Beauty,Brand_73,39.46,10/7/2021,0
122,Home,Brand_69,123.68,3/29/2023,1
123,Sports,Brand_77,97.08,4/12/2021,1
124,Home,Brand_4,116.12,1/16/2022,1
125,Grocery,Brand_52,14.97,4/9/2021,0
126,Sports,Brand_88,47.88,1/30/2022,0
127,Electronics,Brand_60,116.18,11/1/2022,1
128,Electronics,Brand_67,190.41,12/14/2021,1
129,Beauty,Brand_52,9.81,2/9/2023,0
130,Electronics,Brand_96,107.68,10/2/2023,1
131,Fashion,Brand_18,72.5,8/2/2021,1
132,Electronics,Brand_5,97.99,8/8/2022,1
133,Fashion,Brand_39,112.91,12/16/2023,1
134,Sports,Brand_3,57.18,8/6/2022,0
135,Electronics,Brand_56,152.19,5/9/2022,1
136,Home,Brand_97,52.68,12/7/2023,0
137,Electronics,Brand_72,121.92,3/28/2022,1
138,Fashion,Brand_60,33.36,4/11/2021,0
139,Home,Brand_92,62.55,11/14/2023,1
140,Sports,Brand_78,43.31,11/30/2023,0
141,Electronics,Brand_9,81.11,10/21/2022,1
142,Home,Brand_6,56.35,6/21/2022,0
143,Fashion,Brand_75,39.86,3/5/2022,0
144,Fashion,Brand_83,53.71,2/15/2023,0
145,Electronics,Brand_7,151.04,12/19/2022,1
146,Grocery,Brand_93,10.81,7/6/2022,0
147,Electronics,Brand_54,123.47,9/6/2021,1
148,Electronics,Brand_41,112,4/16/2022,1
149,Electronics,Brand_89,163.21,7/2/2022,1
150,Home,Brand_22,62.73,8/15/2021,1
151,Beauty,Brand_48,58.76,6/7/2021,0
152,Fashion,Brand_4,53.33,12/28/2021,0
153,Sports,Brand_89,69.39,6/17/2023,1
154,Fashion,Brand_84,47.35,4/10/2023,0
155,Fashion,Brand_6,56.66,5/1/2021,0
156,Home,Brand_27,90.3,5/7/2023,1
157,Beauty,Brand_29,18.65,7/5/2023,0
158,Electronics,Brand_42,150.23,3/14/2023,1
159,Grocery,Brand_81,20.39,6/28/2023,0
160,Fashion,Brand_9,51.23,5/30/2022,0
161,Grocery,Brand_80,9.92,8/28/2021,0
162,Beauty,Brand_86,37.11,12/11/2021,0
163,Electronics,Brand_43,82.09,2/10/2023,1
164,Electronics,Brand_84,191.17,2/23/2021,1
165,Fashion,Brand_100,55.18,10/14/2021,0
166,Sports,Brand_61,56.33,12/2/2022,0
167,Grocery,Brand_87,30.69,7/1/2022,0
168,Electronics,Brand_88,83.9,1/5/2022,1
169,Electronics,Brand_8,108.03,12/6/2022,1
170,Grocery,Brand_99,13.11,10/8/2022,0
171,Electronics,Brand_29,217.92,8/17/2021,1
172,Electronics,Brand_94,72.02,5/2/2021,1
173,Home,Brand_27,109.33,1/28/2023,1
174,Grocery,Brand_95,18.46,5/6/2023,0
175,Electronics,Brand_38,95.94,7/20/2021,1
176,Beauty,Brand_12,24.94,12/3/2021,0
177,Electronics,Brand_14,152.66,12/12/2023,1
178,Home,Brand_44,67.46,6/5/2021,1
179,Electronics,Brand_4,191.2,5/27/2023,1
180,Sports,Brand_47,55.68,8/5/2022,0
181,Fashion,Brand_89,53.1,5/24/2022,0
182,Home,Brand_68,46.71,1/3/2022,0
183,Fashion,Brand_56,24.9,12/28/2023,0
184,Electronics,Brand_48,164.5,9/19/2021,1
185,Sports,Brand_84,87.76,6/21/2022,1
186,Fashion,Brand_64,54.89,12/18/2023,0
187,Home,Brand_97,78.87,8/8/2021,1
188,Beauty,Brand_9,29.48,6/18/2021,0
189,Electronics,Brand_84,252.95,4/19/2022,1
190,Electronics,Brand_52,166.89,4/20/2022,1
191,Sports,Brand_47,57.05,6/11/2021,0
192,Electronics,Brand_13,173.6,9/13/2023,1
193,Beauty,Brand_62,21.33,5/27/2022,0
194,Sports,Brand_68,76.61,2/28/2023,1
195,Fashion,Brand_25,53.09,9/8/2022,0
196,Electronics,Brand_31,94.73,9/10/2022,1
197,Fashion,Brand_58,62.85,8/2/2022,1
198,Electronics,Brand_38,77.74,6/10/2023,1
199,Electronics,Brand_39,223.41,10/1/2022,1
200,Home,Brand_87,72.31,9/9/2022,1
201,Beauty,Brand_68,39.11,3/31/2021,0
202,Fashion,Brand_29,42.74,5/6/2021,0
203,Electronics,Brand_83,115.47,7/3/2023,1
